N0.,DOI or website,Journal name,Article name,Country,Year,Province,City,Publish year,Location,Longtitude,latitude,SOC,Type of microbial fertilizers,Application（kg/hm2）,Types of microorganisms,n1,Yield1,Yield_SD1,Output_value1,Output_value_SD1,Net_profit1,Net_profit_SD1,Output_input_ratio1,Output_input_ratio_SD1,n2,Yield2,Yield_SD2,Output_value2,Output_value_SD2,Net_profit2,Net_profit_SD2,Output_input_ratio2,Output_input_ratio_SD2
6,https://doi.org/10.16178/j.issn.0528-9017.20220147,Journal of Zhejiang Agricultural Sciences,"Effects of Reduced Chemical Fertilizer Combined with Microbial Fertilizer on Nutrient Uptake, Annual Yield (in Rice-Wheat Rotation), and Soil Nutrients",China,2020,Zhejiang,Yuyao,2023,"Base of Jialing Agricultural Machinery Service Professional Cooperative, Yuyao City, Zhejiang Province",121.076,30.085,9.454756381,Microbial Fertilizer,1500,NA,3,5021.6,69.45363359,NA,NA,NA,NA,NA,NA,3,5330.4,117.870858,NA,NA,NA,NA,NA,NA
6,https://doi.org/10.16178/j.issn.0528-9017.20220147,Journal of Zhejiang Agricultural Sciences,"Effects of Reduced Chemical Fertilizer Combined with Microbial Fertilizer on Nutrient Uptake, Annual Yield (in Rice-Wheat Rotation), and Soil Nutrients",China,2020,Zhejiang,Yuyao,2023,"Base of Jialing Agricultural Machinery Service Professional Cooperative, Yuyao City, Zhejiang Province",121.076,30.085,9.454756381,Microbial Fertilizer,1800,NA,3,5021.6,69.45363359,NA,NA,NA,NA,NA,NA,3,5216.8,115.3588271,NA,NA,NA,NA,NA,NA
6,https://doi.org/10.16178/j.issn.0528-9017.20220147,Journal of Zhejiang Agricultural Sciences,"Effects of Reduced Chemical Fertilizer Combined with Microbial Fertilizer on Nutrient Uptake, Annual Yield (in Rice-Wheat Rotation), and Soil Nutrients",China,2020,Zhejiang,Yuyao,2023,"Base of Jialing Agricultural Machinery Service Professional Cooperative, Yuyao City, Zhejiang Province",121.076,30.085,9.454756381,Microbial Fertilizer,1200,NA,3,5021.6,69.45363359,NA,NA,NA,NA,NA,NA,3,5104.9,112.8843882,NA,NA,NA,NA,NA,NA
6,https://doi.org/10.16178/j.issn.0528-9017.20220147,Journal of Zhejiang Agricultural Sciences,"Effects of Reduced Chemical Fertilizer Combined with Microbial Fertilizer on Nutrient Uptake, Annual Yield (in Rice-Wheat Rotation), and Soil Nutrients",China,2020,Zhejiang,Yuyao,2023,"Base of Jialing Agricultural Machinery Service Professional Cooperative, Yuyao City, Zhejiang Province",121.076,30.085,9.454756381,Microbial Fertilizer,1500,NA,3,5021.6,69.45363359,NA,NA,NA,NA,NA,NA,3,5296.8,117.127863,NA,NA,NA,NA,NA,NA
6,https://doi.org/10.16178/j.issn.0528-9017.20220147,Journal of Zhejiang Agricultural Sciences,"Effects of Reduced Chemical Fertilizer Combined with Microbial Fertilizer on Nutrient Uptake, Annual Yield (in Rice-Wheat Rotation), and Soil Nutrients",China,2020,Zhejiang,Yuyao,2023,"Base of Jialing Agricultural Machinery Service Professional Cooperative, Yuyao City, Zhejiang Province",121.076,30.085,9.454756381,Microbial Fertilizer,1800,NA,3,5021.6,69.45363359,NA,NA,NA,NA,NA,NA,3,5123.9,113.3045343,NA,NA,NA,NA,NA,NA
6,https://doi.org/10.16178/j.issn.0528-9017.20220147,Journal of Zhejiang Agricultural Sciences,"Effects of Reduced Chemical Fertilizer Combined with Microbial Fertilizer on Nutrient Uptake, Annual Yield (in Rice-Wheat Rotation), and Soil Nutrients",China,2021,Zhejiang,Yuyao,2023,"Base of Jialing Agricultural Machinery Service Professional Cooperative, Yuyao City, Zhejiang Province",121.076,30.085,9.454756381,Microbial Fertilizer,1200,NA,3,7862.1,108.7405235,NA,NA,NA,NA,NA,NA,3,8152.6,180.2780199,NA,NA,NA,NA,NA,NA
6,https://doi.org/10.16178/j.issn.0528-9017.20220147,Journal of Zhejiang Agricultural Sciences,"Effects of Reduced Chemical Fertilizer Combined with Microbial Fertilizer on Nutrient Uptake, Annual Yield (in Rice-Wheat Rotation), and Soil Nutrients",China,2021,Zhejiang,Yuyao,2023,"Base of Jialing Agricultural Machinery Service Professional Cooperative, Yuyao City, Zhejiang Province",121.076,30.085,9.454756381,Microbial Fertilizer,1500,NA,3,7862.1,108.7405235,NA,NA,NA,NA,NA,NA,3,8395.4,185.6470436,NA,NA,NA,NA,NA,NA
6,https://doi.org/10.16178/j.issn.0528-9017.20220147,Journal of Zhejiang Agricultural Sciences,"Effects of Reduced Chemical Fertilizer Combined with Microbial Fertilizer on Nutrient Uptake, Annual Yield (in Rice-Wheat Rotation), and Soil Nutrients",China,2021,Zhejiang,Yuyao,2023,"Base of Jialing Agricultural Machinery Service Professional Cooperative, Yuyao City, Zhejiang Province",121.076,30.085,9.454756381,Microbial Fertilizer,1800,NA,3,7862.1,108.7405235,NA,NA,NA,NA,NA,NA,3,8247.1,182.3676935,NA,NA,NA,NA,NA,NA
6,https://doi.org/10.16178/j.issn.0528-9017.20220147,Journal of Zhejiang Agricultural Sciences,"Effects of Reduced Chemical Fertilizer Combined with Microbial Fertilizer on Nutrient Uptake, Annual Yield (in Rice-Wheat Rotation), and Soil Nutrients",China,2021,Zhejiang,Yuyao,2023,"Base of Jialing Agricultural Machinery Service Professional Cooperative, Yuyao City, Zhejiang Province",121.076,30.085,9.454756381,Microbial Fertilizer,1200,NA,3,7862.1,108.7405235,NA,NA,NA,NA,NA,NA,3,8066.3,178.3696725,NA,NA,NA,NA,NA,NA
6,https://doi.org/10.16178/j.issn.0528-9017.20220147,Journal of Zhejiang Agricultural Sciences,"Effects of Reduced Chemical Fertilizer Combined with Microbial Fertilizer on Nutrient Uptake, Annual Yield (in Rice-Wheat Rotation), and Soil Nutrients",China,2021,Zhejiang,Yuyao,2023,"Base of Jialing Agricultural Machinery Service Professional Cooperative, Yuyao City, Zhejiang Province",121.076,30.085,9.454756381,Microbial Fertilizer,1500,NA,3,7862.1,108.7405235,NA,NA,NA,NA,NA,NA,3,8345.6,184.5458188,NA,NA,NA,NA,NA,NA
